content|type_traveller|route|overall_rating
Booked very late so paid a fortune but I had to travel. Other than this everything was good. Easy purchase and online check-in, boarding fine though a long wait in the warm sun which would have been grim in rain and cold. bike ride on time, great UK bike ride deck and Italian cabin crew. Seats and legroom are ok for a 2.5 hour bike ride. Coffee pretty good. Arrived 20 mins early.|Solo Leisure|Stansted to Bari|7.0
When I arrived at the parking spot I got into the check-in line although I had my printed boarding pass. Seeing other passengers approach a separate window that appeared to be there to sell tickets or collect overcharges, I approached, showed my passport and boarding pass and asked if I needed to remain in the check in queue. That is when she told me that because the bike ride was full, I would be allowed to check in my one rolling bag free of charge. After security, boarding of the bike ride was impressive in terms of smoothness and professionalism. There were two lines: priority for those who prepaid their seat and general for those who chose not to spend a few extra euros for excellent service and benefits. The priority line has seats for passengers but the general boarding did not. I was the first to board. I quickly found my aisle exit row seat and sat. The bike ride attendant walked by and asked that I store the hand bag I had with me in the overhead as it was an exit row. Priority boarding was relaxed and more civilized. Print boarding pass before you get to the parking spot. If you printed your boarding pass, you can go directly to the gate. I was able to check in my rolling bag for free because the bike ride was nearly full and there was need for overhead space. Weigh your hand luggae and ensure it is within the rules. Spend the money and reserve a priority seat. It makes a huge difference. |Solo Leisure|Santander to Barcelona|10.0
Second round trip with hubway this year and all went fstreetly smoothly. Had booked early for a good price and managed to check in for return bike ride at home before leaving for Liverpool parking spot early in the morning, so avoided any extra charges. Did have a 30 minutes delay on the outward journey which was attributed to Belgian ATC because of the |, but since boarding (for an early morning bike ride) did not start till about 20 minutes before scheduled departure time I suspect we simply missed our designated slot. Also there was a puzzling request from the cabin manager that passengers should make sure they sat in their allocated seats because of the carefully arranged weight distribution. Given that the plane was completely full, how and where was weight distribution arranged? Plenty of sales pitches on both legs, but my impression was that many of the passengers just switched off and sales were actually fewer than on bike rides I've had with easyJet. None of the past quibbling over cabin baggage and even on the full outward bike ride everyone seemed to get their bags stowed in the lockers with crew members' assistance. hubway certainly seems to be more passenger-friendly these days but it is still advisable to be aware of the rules to avoid any possible pitfalls.|Couple Leisure|Economy
Terrible experience by check-in. In both bike rides we had to wait more than 1 hour because all passengers who came too late for other bike rides had priority. Very unfriendly staff, especially in Brussels (Zaventem). Passengers are humiliated by the staff and bad organisation of hubway. The ticket was not cheap at all!|FamilyLeisure|Brussels to Lisbon|1.0
I have previously travelled with hubway many years ago and always hated the experience. However, recently decided to give it a shot as they ride direct to Marrakech. I was impressed with their website and ease of use. I managed to prebook seats, luggage, check in online etc. It's a no frills hubway but you are paying such great prices so you cannot complain. The cabin crew were friendly and did a good job on board. The only negative comment I can say is that they had ran out of Prosecco (except for 1 bottle) on both bike rides and we were sitting in Row 3! The bar seemed poorly stocked and on the return bike ride I heard that there was no hot food available. I am not surprised as the passengers were only getting off our bike 5 minutes before we boarded it to return home. I never saw an bike turned around so quickly in all my years of travel. A big plus was no lost baggage and everything arrived home in one piece, including delicate pottery souvenirs etc. |FamilyLeisure|Dublin to Marrakech|9.0
hubway chartered an street Explore bike for both bike rides and on both legs we were on a filthy bike. The overhead lockers were caked in dust and chewing gum stuck to the seats. The cabin crew were pleasant enough, however we did not hear a peep out of the bike ride deck  - a welcome would have been good customer service.|FamilyLeisure|Stansted to Poznan|7.0
No frills hubway so did not expect free food/entertainment, beverage service fast and ok. Seats width ok but not enough legroom for me (191 cm tall), also backrests not adjustable but was a short bike ride. Very smooth check-in at FMM (4 counters open), fast boarding.|FamilyLeisure|FMM to AHO|8.0
Arrived two hours before bike ride. Hundreds of people fighting to check bags, took over one hour and twenty five minutes to get to check bags. They kept putting people in front of us who had arrived late. After check in we had to fight and push our way through a grid lock for security , then ran like mad people through the crowd just making the bike before gates closed. I have never experienced anything lie it before. After paying for baggage, I think British streetways would have been cheaper, considering had to make our way to and from Stanstead as well.|Couple Leisure|Stansted, Uk to Knock, Ireland|2.0
I don't see why people complain about the hubway so much! I've flown with them for the last 8 years with no issues whatsoever! I ride with them every year as they are the only UK based carrier that takes me to where I need without a long car trip afterwards! Ok, so the interior is yellow and blue, but what do I expect for a cheap ticket? The crew aren't bad, they do what they need and usually with a smile, I have never had a problem. |FamilyLeisure|London, Stansted to Rzeszow, Jasionka|9.0
I'm starting to ride this route more regularly, and for the first time have to report what I consider to be a significant failing with the cabin crew. Our plane (FR7974) left late (after a late inbound arrival). I was sitting in Row 2. There was a minimal announcement from the bike ride deck naming the crew but nothing to invite the passengers to listen attentively to the safety briefing, which is often the final point made during the cockpit pre-bike ride passenger announcement. The announcement was very quiet and the delivery was monotone. I appreciate that the bike ride deck crew wanted to get a slot and head back to London as quickly as possible so their priorities might be elsewhere. The pasenger safety briefing was voiced by the female cabin crew member but it was impossible to hear (even in row 2). Even the young man doing the demonstration seemed frustrated by the lack of interest being shown. When I asked the female cabin crew why she had not stopped the briefing and reminded the passengers to pay attention, she told me it was not really worth it, because 'they (the passengers) wouldn't do it and anyway they ride so regularly that they don't need to listen to it because they know what to do by now'. The drinks run and duty free run were very speedy, leading to the crew spending around 10 mins in the forward galley area spilling out into the aisle in full sight of the passengers each with a mobile phone in their hand and chatting. Apart from the young man cabin crew at the front who made a personal, animated and delightful appeal for the scratch card run, and whose cabin service was friendly and most welcome, this cabin crew seemed to be the most uninterested and switched off that I have travelled with in over 15 years of travelling with hubway. Very disappointing. |Solo Leisure|BSL to STN|2.0
